"Date","Main Meal","Alternate","Salad"
"02/03/2025","Popcorn chicken bowl with honey wheat dinner roll","Bagel & cream cheese, yogurt, string cheese","Caesar salad with or without grilled chicken"
"02/04/2025","Fan favorite confetti pancakes with egg patty and cheese stick","Bagel & cream cheese, yogurt, string cheese","Caesar salad with or without grilled chicken"
"02/05/2025","Cheeseburger, hamburger, or black bean burger on WG bun","Bagel & cream cheese, yogurt, string cheese","Caesar salad with or without grilled chicken"
"02/06/2025","Pasta with optional all beef meatballs, warm garlic breadstick","Bagel & cream cheese, yogurt, string cheese","Caesar salad with or without grilled chicken"
"02/07/2025","French bread cheese, veggie or turkey pepperoni pizza","Bagel & cream cheese, yogurt, string cheese","Caesar salad with or without grilled chicken"
"02/10/2025","Chicken or vegetable dumplings with soy sauce and oven-fried brown rice","Toasted Cheese","Garden salad with or without crispy chicken"
"02/11/2025","Cinnamon glazed French toast sticks with syrup cup and chicken sausage patty","Toasted Cheese","Garden salad with or without crispy chicken"
"02/12/2025","All beef hot dog or vegetarian hot dog","Toasted Cheese","Garden salad with or without crispy chicken"
"02/13/2025","Stuffed crust cheese, turkey pepperoni, or veggie pizza","Toasted Cheese","Garden salad with or without crispy chicken"
"02/14/2025","Heart shaped chicken nuggets or chick’n nuggets with WG dinner roll","Toasted Cheese","Garden salad with or without crispy chicken"
"02/24/2025","Crispy chicken filet sandwich on WG bun","Pretzel with yogurt & string cheese","Caesar salad with or without grilled chicken"
"02/25/2025","Jumbo waffles with chicken sausage links","Pretzel with yogurt & string cheese","Caesar salad with or without grilled chicken"
"02/26/2025","All beef nacho bowl with all the fixings","Pretzel with yogurt & string cheese","Caesar salad with or without grilled chicken"
"02/27/2025","Chicken broccoli and ziti with warm garlic knot","Pretzel with yogurt & string cheese","Caesar salad with or without grilled chicken"
"02/28/2025","Assorted cheese, veggie, or turkey pepperoni pizza","Pretzel with yogurt & string cheese","Caesar salad with or without grilled chicken"
